,Short _Name,Long_Name,Short_Description,Long_Description,Data_Source
113,r41_2017,Commercial_Size_Total_2017,Total square feet of commercial buildings,"Sum of the heated square footage of developed commercial space. Commercial space includes business, office, industrial and institutional uses, not including religious institutions and schools.","Mecklenburg County Tax Parcels, 2017"
114,m41_2016,Commercial_Size_2016,Average square footage of commercial space per parcel,Sum of the heated square footage of developed commercial space zoned for said use divided by the number of parcels with developed commercial space.,"Mecklenburg County Tax Parcels, 2016"
115,r41_2016,Commercial_Size_Total_2016,Total square feet of commercial buildings,"Sum of the heated square footage of developed commercial space. Commercial space includes business, office, industrial and institutional uses, not including religious institutions and schools.","Mecklenburg County Tax Parcels, 2016"
116,m41_2015,Commercial_Size_2015,Average square footage of commercial space per parcel,Sum of the heated square footage of developed commercial space zoned for said use divided by the number of parcels with developed commercial space.,"Mecklenburg County Tax Parcels, 2015"
117,r41_2015,Commercial_Size_Total_2015,Total square feet of commercial buildings,"Sum of the heated square footage of developed commercial space. Commercial space includes business, office, industrial and institutional uses, not including religious institutions and schools.","Mecklenburg County Tax Parcels, 2015"
118,m41_2013,Commercial_Size_2013,Average square footage of commercial space per parcel,Sum of the heated square footage of developed commercial space zoned for said use divided by the number of parcels with developed commercial space.,"Mecklenburg County Tax Parcels, 2013"
119,r41_2013,Commercial_Size_Total_2013,Total square feet of commercial buildings,"Sum of the heated square footage of developed commercial space. Commercial space includes business, office, industrial and institutional uses, not including religious institutions and schools.","Mecklenburg County Tax Parcels, 2013"
120,m41_2011,Commercial_Size_2011,Average square footage of commercial space per parcel,Sum of the heated square footage of developed commercial space zoned for said use divided by the number of parcels with developed commercial space.,"Mecklenburg County Tax Parcels, 2011"
121,r41_2011,Commercial_Size_Total_2011,Total square feet of commercial buildings,"Sum of the heated square footage of developed commercial space. Commercial space includes business, office, industrial and institutional uses, not including religious institutions and schools.","Mecklenburg County Tax Parcels, 2011"
122,m42_2018,Commercial_Building_Age_2018,Average age of commercial buildings,The year of construction for each commercial building is summed and divided by the number of parcels with developed commercial space and subtracted from the year of data collection (2018).,"Mecklenburg County Tax Parcels, 2018"
123,m42_2017,Commercial_Building_Age_2017,Average age of commercial buildings,The year of construction for each commercial building is summed and divided by the number of parcels with developed commercial space and subtracted from the year of data collection (2017).,"Mecklenburg County Tax Parcels, 2017"
124,m42_2016,Commercial_Building_Age_2016,Average age of commercial buildings,The year of construction for each commercial building is summed and divided by the number of parcels with developed commercial space and subtracted from the year of data collection (2016).,"Mecklenburg County Tax Parcels, 2016"
125,m42_2015,Commercial_Building_Age_2015,Average age of commercial buildings,The year of construction for each commercial building is summed and divided by the number of parcels with developed commercial space and subtracted from the year of data collection (2015).,"Mecklenburg County Tax Parcels, 2015"
126,m42_2013,Commercial_Building_Age_2013,Average age of commercial buildings,The year of construction for each commercial building is summed and divided by the number of parcels with developed commercial space and subtracted from the year of data collection (2013).,"Mecklenburg County Tax Parcels, 2013"
127,m42_2011,Commercial_Building_Age_2011,Average age of commercial buildings,The year of construction for each commercial building is summed and divided by the number of parcels with developed commercial space and subtracted from the year of data collection (2011).,"Mecklenburg County Tax Parcels, 2011"
128,m79_2018,Fincancial_Services_Proximity_2018,Percentage of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union divided by the total number of housing units. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2018; Mecklenburg County Tax Parcels 2018"
129,r79_2018,Financial_Services_Proximate_Units_2018,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2018; Mecklenburg County Tax Parcels 2018"
130,m79_2017,Fincancial_Services_Proximity_2017,Percentage of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union divided by the total number of housing units. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2017; Mecklenburg County Tax Parcels 2017"
131,r79_2017,Financial_Services_Proximate_Units_2017,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2017; Mecklenburg County Tax Parcels 2017"
132,m79_2016,Fincancial_Services_Proximity_2016,Percentage of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union divided by the total number of housing units. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2016; Mecklenburg County Tax Parcels 2016"
133,r79_2016,Financial_Services_Proximate_Units_2016,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2016; Mecklenburg County Tax Parcels 2016"
134,m79_2015,Fincancial_Services_Proximity_2015,Percentage of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union divided by the total number of housing units. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2015; Mecklenburg County Tax Parcels 2015"
135,r79_2015,Financial_Services_Proximate_Units_2015,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2015; Mecklenburg County Tax Parcels 2015"
